"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $207.57/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","PrivateNote"
"0x0ed47b87fa84bccf0321b63190078df4158a9708936acd0154ffd96eb8cbc58c","4846025","1514963156","1/3/2018 7:05:56 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x96fef71f644bde2a282f152447724892f28893ab","","0","1350","280219.5","0.00084","0.1743588","941.10","","",""
"0x91fc748fa547c8c5d642ba24ff132f8dd8d1ddcd5861705b1fab1d7c4eef82e9","4885225","1515587313","1/10/2018 12:28:33 PM","0x829bd824b016326a401d083b33d092293333a830","0x61c808d82a3ac53231750dadc13c777b59310bd9","","3900","0","809523","0.001974","0.40974318","1248.99","","",""
"0xc527e8bb0593208c5d63b369e917eed0246306de2106ff367f8f87c0f0effcc5","4895311","1515748071","1/12/2018 9:07:51 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x2008d50499492c3ffed439e5ce5cec8a3ca34f24","","0","700","145299","0.00105","0.2179485","1261.03","","",""
"0xf0123fa2d8a107e4ebb74e4721207740b10e8c871a26f0f595b8bc6cc6aa9d48","4908947","1515962723","1/14/2018 8:45:23 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x96fef71f644bde2a282f152447724892f28893ab","","0","0.07601","15.7773957","0.00105","0.2179485","1359.48","","",""
"0xf8e242eae910e006dafd72e9f77eb3770b921c9b154ba7c1ba3d7245c8235acf","4908963","1515962901","1/14/2018 8:48:21 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xa04248bbbdae26fadc85e55ef79ec17ace948370","","0","3349.92","695342.8944","0.00105","0.2179485","1359.48","","",""
"0xdf3bed249e8c15478bd43f32bee53219fb4d830b7de31ccf833f897ddfaa5057","4919150","1516123768","1/16/2018 5:29:28 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xa04248bbbdae26fadc85e55ef79ec17ace948370","","0","4999.99916","1037849.8256412","0.00084","0.1743588","1050.26","","",""
"0xacb7fd816d774dabc283e91d626303743f3e6f0cf907365f2a9d743601692a0a","4919929","1516135840","1/16/2018 8:50:40 PM","0x876eabf441b2ee5b5b0554fd502a8e0600950cfa","0x61c808d82a3ac53231750dadc13c777b59310bd9","","5000","0","1037850","0.0019659744","0.408077306208","1050.26","","",""
"0x59ab27b44f5257c991e15c620c140adb0769a08048bd270e47d6021083dd5cdc","4925122","1516216046","1/17/2018 7:07:26 PM","0x876eabf441b2ee5b5b0554fd502a8e0600950cfa","0x61c808d82a3ac53231750dadc13c777b59310bd9","","50","0","10378.5","0.0019281672","0.400229665704","1024.69","","",""
"0x7fdba8ce89bcf3ef4de7341e672967e3353f0699243f13277dc9e5596addd691","4925159","1516216641","1/17/2018 7:17:21 PM","0x829bd824b016326a401d083b33d092293333a830","0x61c808d82a3ac53231750dadc13c777b59310bd9","","1755","0","364285.35","0.001071","0.22230747","1024.69","","",""
"0x3dbe7080a22ad61cc480d215e11285b6715f2b7043fdbffe36d5e9fe20a5df3d","4925188","1516217078","1/17/2018 7:24:38 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xa04248bbbdae26fadc85e55ef79ec17ace948370","","0","1804.99916","374663.6756412","0.00084","0.1743588","1024.69","","",""
"0xc6000ed1569da2d31a6abf7258c071ca57dc753e11ebdb95d37978311b0fe1c9","4934638","1516363418","1/19/2018 12:03:38 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xa04248bbbdae26fadc85e55ef79ec17ace948370","","0","4999.99916","1037849.8256412","0.00084","0.1743588","1037.36","","",""
"0xcef0671ed9c29a22331a36cba3ea9275a15cf4da9f5b9b76c88aad9cfcbc1f35","4946558","1516540391","1/21/2018 1:13:11 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf","","0","100","20757","0.00231372","0.4802588604","1049.09","","",""
"0x4467bfe8baee12dce496458fba35ca4a132bff1f00dead7ad9e9f3c7eba380d4","4946598","1516540911","1/21/2018 1:21:51 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x9cf183012af69bd02badac67a98f405cf5b85c05","","0","0.02631372","5.4619388604","0.000945","0.19615365","1049.09","","",""
"0x0e5b9f216ef58fa96987a3ac0d4b7559dbe1dfb836aea59f5bf775779c944e5d","4947452","1516553846","1/21/2018 4:57:26 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf","","0","0","0","0.00325012","0.6746274084","1049.09","","",""
"0x92c4045bfda9ff2e44ea2b91e213b14b8e06854e5d527f57655b8e393fdc428d","4947472","1516554218","1/21/2018 5:03:38 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf","","0","2898.96717744","601738.617021221","0.00207684","0.4310896788","1049.09","","",""
"0xfb47690042fdefc8cc3eb246ca1d38db9086fd4425b2cfbf2e99fa0d5632e007","4953400","1516641323","1/22/2018 5:15:23 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf","","0","0","0","0.001656325","0.34380338025","999.64","","",""
"0xd829d11d792868d98746febd7a433908adb9daca1505599b3bae3c829be96fcc","4957508","1516701777","1/23/2018 10:02:57 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0","","0","0","0","0.002294811","0.47633391927","984.47","","",""
"0x367f10016685b20792af99c90b81bb370749838f85f7369d81f61cd34ed3c9e6","4957907","1516707854","1/23/2018 11:44:14 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xa04248bbbdae26fadc85e55ef79ec17ace948370","","0","0.993132024","206.14441422168","0.00084","0.1743588","984.47","","",""
"0x378fe10b0a552ddd3e847c6d04805ef53de35c877324bebe44c98e5069a53d65","4963167","1516784046","1/24/2018 8:54:06 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x94416c328d20b44a269c3dfe95476126358be90d","","0","1314.99916","272954.3756412","0.00084","0.1743588","1061.78","","",""
"0x5de1ef2600d199bf8626c56572fc064325010663d67d7e405f7e322a8b6490af","4963257","1516785209","1/24/2018 9:13:29 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xcf006429f1702bd3c83e673c991ec8d545735e48","","0","0","0","0.000872849","0.18117726693","1061.78","","",""
"0x0577d2a93f0586027398162df0b81f9720db38ec439fee9d6bf16b6397313750","4963269","1516785411","1/24/2018 9:16:51 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x15e4cf1950ffa338ce5bc59456b3e579ed1bead3","","0","0","0","0.000887937","0.18430908309","1061.78","","",""
"0xac46f06accac66d70ee126ff161e9d1b7adaafceca9845578b45aa6a8304774f","4963287","1516785703","1/24/2018 9:21:43 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xd037a81b22e7f814bc6f87d50e5bd67d8c329fa2","","0","0","0","0.000885723","0.18384952311","1061.78","","",""
"0x46b5313899a4a051db63761f59b8fed1101f127c99fe2e1f7385b1f64b0d8d0f","4963299","1516785937","1/24/2018 9:25:37 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x86949dc8043a5fd7619a1289d65964ad5ec3d25c","","0","0","0","0.001512531","0.31395605967","1061.78","","",""
"0xfe9d3f7b20dd1f9d746aa4601a0651c7181bab2e8ecfd304b8c578cd5c863c20","4963306","1516786046","1/24/2018 9:27:26 AM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xe2d82dc7da0e6f882e96846451f4fabcc8f90528","","0","0","0","0.001529464","0.31747084248","1061.78","","",""
"0x6c3bfaaec89da4d9b712d03f5eec3cb8d2a8c8c1ad925d38c0026f0668a03d2a","4970058","1516884495","1/25/2018 12:48:15 PM","0x94416c328d20b44a269c3dfe95476126358be90d","0x61c808d82a3ac53231750dadc13c777b59310bd9","","0.012570475","0","2.60925349575","0.000861","0.17871777","1046.37","","",""
"0x503a22804fbc97bde270b8527e364deee8af98c79e8976fa1ff413f88c146350","4970105","1516885210","1/25/2018 1:00:10 PM","0x829bd824b016326a401d083b33d092293333a830","0x61c808d82a3ac53231750dadc13c777b59310bd9","","1950","0","404761.5","0.000651","0.13512807","1046.37","","",""
"0xded621dc6c278b89b4aec207f985568fe95de02053f16835399a1179f4da9765","4970125","1516885570","1/25/2018 1:06:10 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0","","0","0","0","0.002294811","0.47633391927","1046.37","","",""
"0x342f12a3001ef47da937e7aabc57c629c748304255746aa66cc8b7ac64a0d326","4970202","1516886721","1/25/2018 1:25:21 PM","0x61c808d82a3ac53231750dadc13c777b59310bd9","0xa04248bbbdae26fadc85e55ef79ec17ace948370","","0","635.00393616","131807.767028731","0.000651","0.13512807","1046.37","","",""
